name,adress,phone,points in russian,points in computer science,points in mathematics,points in physics,social science,year of admission,major
Ферзен Аделина,"Брянская область, г.Клинцы, ул.Центральная, д. 53",+7(909)-853-3072,47,60,78,91,84,2011,Прикладная информатика
Розова Анастасия,"Брянская область, г.Фокино, ул.Революции, д. 56",+7(912)-752-4027,63,81,97,70,63,2017,Прикладная информатика
Муравьев Алексей,"Брянская область, г.Клинцы, ул.Октябрьская, д. 68",+7(931)-121-1749,42,51,92,76,46,2013,Педагогическое образование
Уварова Анастасия,"г.Орёлул.Гагарина, д. 52",+7(983)-158-1806,96,72,86,54,40,2010,Педагогическое образование
Зотова Юлия,"Брянская область, г.Карачев, ул.Октябрьская, д. 28",+7(937)-033-9789,81,84,98,63,58,2010,Педагогическое образование
Сидоров Роман,"Орловская область, г.Дмитровск, ул.Гагарина, д. 5",+7(989)-018-3610,54,73,58,43,77,2011,Прикладная математика и информатика
Рябинина Лилия,"г. Курск, ул.Революции, д. 52",+7(999)-722-0083,88,64,89,90,62,2020,Прикладная информатика
Мышкин Роман,"Орловская область, г.Болхов, ул.Революции, д. 29",+7(989)-809-5490,60,91,68,69,48,2015,Прикладная информатика
Николаев Роман,"г.Орёлул.Революции, д. 20",+7(920)-569-8593,88,52,99,42,98,2016,Физика
Платова Диана,"Брянская область, г.Карачев, ул.Гагарина, д. 6",+7(996)-951-6645,57,54,79,84,81,2011,Педагогическое образование
Ермолаев Николай,"г. Брянск, ул. Ленина, д. 8",+7(916)-396-2639,78,83,79,51,53,2013,Физика
Чичиков Федор,"г. Брянск, ул.Центральная, д. 59",+7(989)-630-7684,62,58,58,73,53,2011,Статистика
Петров Федор,"Брянская область, г.Клинцы, ул.Октябрьская, д. 65",+7(932)-657-9536,67,74,56,58,74,2015,Педагогическое образование
Лозовский Лев,"г. Курск, ул.Революции, д. 20",+7(901)-966-9870,54,69,73,46,67,2022,Прикладная математика и информатика
Зотова Анна,"г.Орёлул.Гагарина, д. 13Н",+7(915)-004-4329,78,62,46,52,47,2012,Прикладная математика и информатика
Чичиков Олег,"Брянская область, г.Карачев, ул.Октябрьская, д. 8",+7(921)-615-0858,50,87,65,51,55,2021,Прикладная информатика
Панина Марина,"Брянская область, г.Фокино, ул.Гагарина, д. 40",+7(920)-569-8593,89,72,68,52,94,2016,Педагогическое образование
Васильева Анна,"Орловская область, г.Дмитровск, ул.Центральная, д. 20",+7(960)-505-4880,63,47,64,83,70,2020,Прикладная информатика
Воронцова Лилия,"Брянская область, г.Клинцы, ул.Новая, д. 28",+7(953)-252-4370,71,84,79,98,69,2010,Статистика
Воронцова Лина,"Брянская область, г.Дятьково, ул.Центральная, д. 21",+7(983)-087-7008,84,90,68,70,93,2015,Прикладная математика и информатика
Розова Алиса,"Брянская область, г.Клинцы, ул. Ленина, д. 52",+7(913)-677-0828,74,47,53,78,74,2020,Физика
Сидоров Владимир,"Брянская область, г.Дятьково, ул. Ленина, д. 24",+7(912)-544-2413,52,40,52,56,46,2022,Физика
Воронцова Лина,"Брянская область, г.Дятьково, ул.Октябрьская, д. 46",+7(989)-483-0620,49,54,46,91,44,2015,Прикладная информатика
Латышев Роман,"г. Курск, ул. Ленина, д. 65",+7(938)-662-5643,79,93,40,90,71,2014,Статистика
Картамышев Олег,"Орловская область, г.Мценск, ул.Октябрьская, д. 66",+7(965)-661-6475,72,67,96,88,49,2014,Статистика
Ермолаев Николай,"Брянская область, г.Клинцы, ул.Октябрьская, д. 7",+7(939)-388-3317,39,88,50,76,59,2010,Прикладная математика и информатика
Картамышев Юрий,"Орловская область, г.Дмитровск, ул.Новая, д. 1",+7(920)-548-7238,82,74,73,96,60,2013,Прикладная информатика
Ермолаев Владислав,"г. Курск, ул.Центральная, д. 18",+7(906)-196-2851,68,86,95,70,47,2014,Педагогическое образование
Муравьев Алексей,"Орловская область, г.Болхов, ул. Ленина, д. 15",+7(929)-984-5022,56,70,67,79,88,2021,Прикладная математика и информатика
Розова Алиса,"Брянская область, г.Жуковка, ул.Новая, д. 33",+7(983)-936-8034,77,83,70,50,57,2011,Математика
Картамышев Владимир,"Брянская область, г.Жуковка, ул.Новая, д. 17",+7(968)-630-6830,51,93,48,80,99,2019,Физика
Лозовский Андрей,"Орловская область, г.Ливны, ул.Новая, д. 25И",+7(950)-792-4916,57,63,95,90,54,2017,Физика
Рябинина Милена,"г. Брянск, ул.Гагарина, д. 32",+7(953)-252-4370,54,59,49,60,57,2018,Прикладная информатика
Латышев Николай,"г. Курск, ул.Новая, д. 24",+7(913)-599-7702,39,51,82,39,59,2013,Педагогическое образование
Панина Диана,"Орловская область, г.Мценск, ул.Октябрьская, д. 38",+7(914)-620-1510,52,92,70,97,78,2022,Статистика
Платова Алиса,"Орловская область, г.Дмитровск, ул. Ленина, д. 36",+7(930)-566-1137,75,85,62,96,78,2016,Прикладная информатика
Платова Милена,"г. Брянск, ул.Гагарина, д. 48",+7(922)-244-0632,87,55,64,73,44,2010,Прикладная информатика
Сазонова Лилия,"г.Орёлул.Гагарина, д. 56",+7(929)-149-9132,96,89,95,78,84,2020,Прикладная информатика
Латышев Николай,"г.Орёлул. Ленина, д. 56",+7(963)-397-9350,92,85,68,96,63,2017,Педагогическое образование
Сазонова Алиса,"Брянская область, г.Жуковка, ул.Революции, д. 2",+7(964)-917-3523,41,50,93,97,74,2022,Прикладная математика и информатика
Зотова Мария,"Брянская область, г.Жуковка, ул.Центральная, д. 5",+7(988)-864-5933,84,91,41,60,56,2014,Прикладная информатика
Муравьев Андрей,"г. Курск, ул.Революции, д. 42",+7(967)-377-3049,91,77,62,59,91,2011,Математика
Воронцова Аделина,"Брянская область, г.Клинцы, ул. Ленина, д. 63",+7(917)-744-3139,49,71,87,88,83,2016,Математика
Ермолаев Олег,"Брянская область, г.Жуковка, ул. Ленина, д. 3",+7(922)-801-5785,71,66,47,61,98,2019,Статистика
Платова Арина,"г. Брянск, ул. Ленина, д. 0",+7(977)-241-9677,51,98,41,74,97,2018,Математика
Муравьев Константин,"Брянская область, г.Фокино, ул.Революции, д. 3",+7(906)-883-5211,57,45,62,69,40,2020,Прикладная математика и информатика
Воронцова Аделина,"Брянская область, г.Дятьково, ул. Ленина, д. 52",+7(938)-662-5643,41,82,40,86,48,2017,Статистика
Панина Аделина,"Орловская область, г.Ливны, ул.Октябрьская, д. 42П",+7(951)-478-7027,80,88,98,95,62,2020,Физика
Зотова Алисия,"г. Брянск, ул.Октябрьская, д. 14",+7(933)-234-3853,40,81,43,81,95,2015,Статистика
Розова Арина,"Брянская область, г.Фокино, ул.Центральная, д. 22Ъ",+7(995)-159-4568,96,51,66,75,44,2021,Статистика
Картамышев Лев,"Орловская область, г.Ливны, ул.Революции, д. 13",+7(963)-565-5861,74,82,58,82,96,2013,Прикладная информатика
Васильева Дина,"г. Курск, ул.Октябрьская, д. 20",+7(953)-722-1745,81,52,53,39,56,2020,Математика
Зотова Мария,"Брянская область, г.Жуковка, ул.Октябрьская, д. 42",+7(985)-154-3895,62,89,61,93,63,2017,Прикладная математика и информатика
Сазонова Марина,"Орловская область, г.Дмитровск, ул.Гагарина, д. 52",+7(939)-633-9290,96,92,77,89,69,2012,Физика
Зотова Анна,"г. Курск, ул.Новая, д. 36",+7(991)-812-2587,93,70,67,41,99,2016,Математика
Ермолаев Алексей,"г. Курск, ул.Гагарина, д. 24",+7(930)-400-2765,54,96,98,90,73,2018,Прикладная информатика
Ермолаев Владимир,"Брянская область, г.Клинцы, ул.Центральная, д. 33Ц",+7(900)-791-8602,54,66,39,56,79,2018,Математика
Ларина Анастасия,"Орловская область, г.Болхов, ул. Ленина, д. 24",+7(963)-851-7483,77,64,66,95,64,2010,Прикладная информатика
Орлова Диана,"г. Брянск, ул.Октябрьская, д. 63",+7(958)-144-6085,67,57,77,55,78,2015,Статистика
Васильева Анастасия,"г.Орёлул.Октябрьская, д. 55",+7(932)-197-3367,89,78,48,41,67,2013,Прикладная математика и информатика
Панина Мария,"Орловская область, г.Болхов, ул.Октябрьская, д. 64",+7(906)-763-2420,94,55,70,89,39,2020,Прикладная математика и информатика
Кочергин Андрей,"Брянская область, г.Дятьково, ул.Октябрьская, д. 22",+7(939)-943-5183,57,55,83,42,63,2021,Физика
Латышев Роман,"Брянская область, г.Карачев, ул.Новая, д. 40",+7(927)-077-4026,50,66,68,88,41,2015,Прикладная математика и информатика
Сидоров Алексей,"Брянская область, г.Жуковка, ул.Центральная, д. 42",+7(960)-460-3511,40,79,90,87,40,2010,Педагогическое образование
Сидоров Владимир,"г. Брянск, ул. Ленина, д. 66",+7(910)-916-6079,52,89,73,67,83,2019,Педагогическое образование
Ферзен Анна,"г.Орёлул.Центральная, д. 19",+7(989)-405-9669,65,87,92,88,50,2022,Статистика
Васильева Лина,"Брянская область, г.Дятьково, ул.Революции, д. 50",+7(926)-274-3167,75,90,52,54,75,2012,Математика
Орлова Диана,"Брянская область, г.Жуковка, ул.Новая, д. 65",+7(905)-253-6927,69,86,64,83,96,2014,Математика
Орлова Алисия,"Орловская область, г.Мценск, ул.Центральная, д. 51",+7(952)-068-0683,71,80,61,79,51,2015,Педагогическое образование
Салтыкова Анна,"Брянская область, г.Карачев, ул.Новая, д. 41",+7(965)-655-9305,97,60,90,98,51,2015,Педагогическое образование
Ферзен Милена,"Орловская область, г.Дмитровск, ул.Революции, д. 28",+7(987)-740-8138,67,77,50,72,72,2019,Статистика
Мышкин Алексей,"Брянская область, г.Клинцы, ул. Ленина, д. 27",+7(914)-678-6132,52,67,61,71,76,2015,Прикладная математика и информатика
Васильева Дина,"г. Курск, ул. Ленина, д. 25",+7(982)-164-1580,43,99,53,76,71,2018,Физика
Уварова Дина,"Орловская область, г.Дмитровск, ул.Октябрьская, д. 6",+7(968)-373-0589,84,99,90,54,53,2011,Педагогическое образование
Коровьев Владислав,"Орловская область, г.Болхов, ул.Новая, д. 51",+7(909)-421-7060,84,48,46,81,47,2012,Физика
Ермолаев Андрей,"Брянская область, г.Карачев, ул.Новая, д. 1",+7(927)-077-4026,81,95,68,69,47,2019,Физика
Иванов Константин,"Брянская область, г.Клинцы, ул.Революции, д. 51Х",+7(982)-164-1580,99,60,92,70,66,2016,Физика
Сазонова Юлия,"Брянская область, г.Дятьково, ул.Революции, д. 23",+7(981)-248-3046,65,98,42,81,75,2012,Прикладная информатика
Воронцова Анна,"г.Орёлул.Гагарина, д. 22",+7(919)-239-1801,94,85,53,81,77,2018,Статистика
Платова Мария,"г. Брянск, ул. Ленина, д. 25",+7(927)-432-4982,83,87,46,46,98,2018,Математика
Ермолаев Илья,"Брянская область, г.Карачев, ул.Новая, д. 38",+7(927)-077-4026,94,90,77,93,82,2012,Прикладная математика и информатика
Уварова Мария,"Орловская область, г.Ливны, ул.Революции, д. 9",+7(913)-423-2413,70,75,98,57,77,2021,Статистика
Уварова Алиса,"г. Курск, ул.Октябрьская, д. 46",+7(951)-287-9683,98,64,63,59,85,2019,Математика
Панина Анна,"Орловская область, г.Мценск, ул.Новая, д. 40Й",+7(993)-223-9737,86,51,67,59,65,2017,Прикладная математика и информатика
Николаев Константин,"Орловская область, г.Болхов, ул.Гагарина, д. 47",+7(932)-657-9536,63,89,92,39,46,2019,Математика
Сазонова Алисия,"Орловская область, г.Мценск, ул.Центральная, д. 67",+7(903)-104-1344,63,94,42,87,70,2022,Прикладная математика и информатика
Ларина Анна,"Орловская область, г.Дмитровск, ул.Гагарина, д. 14",+7(980)-564-6495,92,58,50,81,70,2022,Статистика
Сидоров Илья,"Брянская область, г.Клинцы, ул.Новая, д. 15",+7(995)-927-4945,58,62,54,52,51,2018,Статистика
Зотова Анна,"Орловская область, г.Дмитровск, ул.Октябрьская, д. 19",+7(968)-457-5040,84,89,78,79,70,2014,Статистика
Платова Лина,"Брянская область, г.Карачев, ул.Гагарина, д. 20",+7(993)-309-4136,40,91,80,87,63,2020,Математика
Кочергин Юрий,"Брянская область, г.Фокино, ул. Ленина, д. 53",+7(953)-982-6431,69,67,69,92,94,2018,Математика
Латышев Роман,"Орловская область, г.Болхов, ул.Октябрьская, д. 13",+7(951)-854-9461,96,66,95,86,56,2013,Прикладная информатика
Сазонова Дина,"Брянская область, г.Клинцы, ул.Центральная, д. 37",+7(902)-607-3017,57,60,39,76,47,2013,Педагогическое образование
Зотова Анна,"Брянская область, г.Фокино, ул. Ленина, д. 12Ц",+7(950)-611-5246,66,85,71,59,55,2018,Прикладная информатика
Мышкин Юрий,"Орловская область, г.Болхов, ул.Центральная, д. 27",+7(965)-781-8422,53,49,96,58,41,2015,Прикладная информатика
Коровьев Владимир,"г. Брянск, ул.Новая, д. 16",+7(996)-607-9422,81,80,71,80,71,2017,Математика
Орлова Аделина,"г. Брянск, ул. Ленина, д. 59",+7(929)-057-2256,79,41,60,43,68,2017,Физика
Чичиков Константин,"г. Брянск, ул.Октябрьская, д. 50Б",+7(995)-154-0608,72,55,51,75,79,2010,Педагогическое образование
Зотова Милена,"Орловская область, г.Мценск, ул.Центральная, д. 51",+7(914)-652-5132,60,60,39,48,59,2018,Статистика
Платова Дина,"Орловская область, г.Мценск, ул.Новая, д. 15",+7(988)-547-2585,62,77,85,90,83,2021,Статистика
Латышев Сергей,"г. Брянск, ул.Новая, д. 59",+7(993)-247-2330,87,89,89,53,94,2021,Прикладная математика и информатика
Васильева Алиса,"Брянская область, г.Жуковка, ул.Центральная, д. 40",+7(991)-800-9226,63,70,39,92,46,2017,Математика
Розова Арина,"Орловская область, г.Дмитровск, ул.Новая, д. 10",+7(953)-321-4729,98,73,61,58,69,2019,Статистика
Орлова Арина,"Орловская область, г.Ливны, ул.Революции, д. 49Ь",+7(906)-936-9795,84,86,71,88,58,2021,Прикладная информатика
Петров Юрий,"Орловская область, г.Дмитровск, ул.Гагарина, д. 39",+7(964)-917-3523,48,84,44,44,53,2019,Физика
Рябинина Алиса,"Брянская область, г.Дятьково, ул.Гагарина, д. 9",+7(923)-448-3359,62,93,88,73,57,2022,Математика
Петров Иван,"г.Орёлул.Центральная, д. 15",+7(903)-591-9048,65,65,90,91,56,2017,Прикладная информатика
Сидоров Юрий,"Орловская область, г.Дмитровск, ул.Новая, д. 64",+7(995)-948-3517,40,75,76,39,43,2020,Прикладная математика и информатика
Орлова Милена,"Орловская область, г.Болхов, ул.Гагарина, д. 55",+7(951)-854-9461,44,89,77,64,55,2018,Физика
Чичиков Николай,"Орловская область, г.Дмитровск, ул. Ленина, д. 12",+7(965)-864-5989,46,84,87,84,39,2017,Прикладная математика и информатика
Сазонова Арина,"г. Курск, ул.Гагарина, д. 22",+7(919)-143-2942,91,90,72,63,47,2019,Прикладная математика и информатика
Зотова Диана,"Брянская область, г.Клинцы, ул.Центральная, д. 44",+7(908)-558-0814,48,99,65,90,88,2021,Математика
Сергеев Николай,"г. Курск, ул. Ленина, д. 16",+7(915)-667-9253,83,62,92,45,70,2021,Прикладная информатика
Коровьев Алексей,"Орловская область, г.Ливны, ул.Новая, д. 49",+7(918)-637-1023,66,68,58,62,71,2014,Физика
Мышкин Константин,"г. Брянск, ул.Гагарина, д. 13",+7(929)-031-8430,66,52,58,96,47,2017,Педагогическое образование
Салтыкова Анастасия,"г. Брянск, ул. Ленина, д. 46",+7(981)-248-3046,41,69,88,61,41,2010,Физика
Мышкин Сергей,"Брянская область, г.Дятьково, ул.Центральная, д. 3",+7(999)-722-0083,67,55,49,53,52,2019,Педагогическое образование
Платова Марина,"Брянская область, г.Жуковка, ул.Октябрьская, д. 8",+7(900)-805-3669,98,92,64,85,77,2014,Физика
Зотова Анна,"Орловская область, г.Ливны, ул.Новая, д. 14",+7(909)-068-8374,46,59,66,61,51,2012,Прикладная информатика
Зотова Дина,"Брянская область, г.Карачев, ул.Революции, д. 21М",+7(914)-302-1620,65,79,71,56,66,2010,Физика
Уварова Аделина,"Брянская область, г.Карачев, ул.Революции, д. 2",+7(989)-809-5490,92,85,46,72,56,2017,Прикладная математика и информатика
Муравьев Иван,"Брянская область, г.Клинцы, ул. Ленина, д. 60",+7(980)-653-9554,40,55,74,77,52,2022,Статистика
Зотова Марина,"Орловская область, г.Болхов, ул.Октябрьская, д. 63",+7(920)-231-4827,47,88,97,70,66,2012,Статистика
Зотова Алиса,"Брянская область, г.Клинцы, ул.Октябрьская, д. 58",+7(910)-942-7958,87,66,60,52,94,2022,Физика
Розова Алисия,"г. Курск, ул.Октябрьская, д. 2",+7(933)-503-2223,66,50,89,67,88,2022,Прикладная информатика
Сидоров Федор,"Орловская область, г.Болхов, ул.Центральная, д. 60",+7(952)-857-9519,86,63,46,60,52,2012,Статистика
Сидоров Роман,"Брянская область, г.Дятьково, ул.Октябрьская, д. 44",+7(968)-587-2316,50,65,79,93,59,2015,Педагогическое образование
Салтыкова Диана,"Брянская область, г.Жуковка, ул.Новая, д. 55",+7(921)-661-2229,39,82,47,46,89,2012,Педагогическое образование
Уварова Милена,"Брянская область, г.Дятьково, ул.Октябрьская, д. 9Ш",+7(928)-484-9043,63,75,58,61,85,2015,Педагогическое образование
Латышев Лев,"Орловская область, г.Ливны, ул.Гагарина, д. 60",+7(995)-003-3827,75,90,85,52,62,2017,Статистика
Васильева Диана,"Брянская область, г.Клинцы, ул.Центральная, д. 7",+7(951)-841-6631,43,89,86,98,72,2019,Математика
Лозовский Юрий,"Орловская область, г.Мценск, ул.Октябрьская, д. 17",+7(939)-319-9175,84,91,65,81,47,2018,Прикладная информатика
Картамышев Владислав,"Орловская область, г.Мценск, ул.Октябрьская, д. 14",+7(936)-550-7638,91,76,73,96,84,2020,Прикладная информатика
Чичиков Юрий,"Орловская область, г.Дмитровск, ул. Ленина, д. 44",+7(960)-314-9497,63,48,66,55,40,2013,Физика
Сидоров Роман,"Орловская область, г.Ливны, ул.Новая, д. 2",+7(908)-872-3107,83,79,59,39,39,2018,Прикладная математика и информатика
Орлова Аделина,"Брянская область, г.Фокино, ул.Революции, д. 59",+7(988)-283-4375,43,74,91,85,73,2020,Физика
Орлова Алиса,"г.Орёлул.Центральная, д. 28",+7(910)-446-9236,83,82,88,39,95,2014,Математика
Орлова Диана,"Брянская область, г.Карачев, ул.Революции, д. 38",+7(934)-137-5522,78,53,58,82,44,2016,Прикладная математика и информатика
Орлова Мария,"Брянская область, г.Фокино, ул.Гагарина, д. 58",+7(989)-285-6558,89,70,77,83,78,2022,Прикладная математика и информатика
Мышкин Алексей,"Брянская область, г.Фокино, ул.Октябрьская, д. 12",+7(913)-324-6615,60,89,94,41,91,2016,Прикладная математика и информатика
Иванов Лев,"Брянская область, г.Фокино, ул.Новая, д. 16",+7(929)-984-5022,40,77,83,88,66,2017,Педагогическое образование
Чичиков Константин,"Орловская область, г.Болхов, ул.Центральная, д. 52",+7(927)-141-4754,63,99,85,92,77,2015,Физика
Зотова Арина,"Орловская область, г.Ливны, ул.Октябрьская, д. 1",+7(920)-970-9735,92,86,47,48,74,2016,Прикладная информатика
Коровьев Сергей,"Брянская область, г.Жуковка, ул.Гагарина, д. 36Ц",+7(999)-223-1737,48,96,80,99,44,2015,Прикладная информатика
Николаев Юрий,"Брянская область, г.Жуковка, ул.Октябрьская, д. 41",+7(958)-284-8021,85,86,55,47,41,2014,Педагогическое образование
Уварова Анастасия,"Брянская область, г.Клинцы, ул.Гагарина, д. 54",+7(917)-262-3611,97,64,70,89,45,2020,Математика
Николаев Алексей,"г. Курск, ул.Революции, д. 56",+7(909)-068-8374,43,50,83,84,71,2010,Математика
Картамышев Андрей,"Орловская область, г.Дмитровск, ул.Октябрьская, д. 34",+7(962)-237-1590,44,48,94,81,93,2022,Прикладная информатика
Латышев Олег,"Брянская область, г.Дятьково, ул.Новая, д. 3Л",+7(995)-003-3827,77,96,79,43,48,2019,Статистика
Мышкин Федор,"г.Орёлул.Октябрьская, д. 39Б",+7(923)-678-0686,48,94,80,86,52,2017,Педагогическое образование
Зотова Милена,"Орловская область, г.Дмитровск, ул.Революции, д. 12",+7(933)-605-0451,55,81,41,89,99,2010,Прикладная математика и информатика
Муравьев Андрей,"Брянская область, г.Жуковка, ул.Новая, д. 26",+7(989)-347-1791,40,48,88,77,53,2020,Педагогическое образование
Ларина Алиса,"Брянская область, г.Дятьково, ул. Ленина, д. 6",+7(995)-119-8915,67,64,91,43,78,2013,Прикладная информатика
Панина Аделина,"Орловская область, г.Болхов, ул.Новая, д. 44",+7(923)-322-8548,56,81,60,50,81,2017,Педагогическое образование
Зотова Диана,"Орловская область, г.Мценск, ул.Гагарина, д. 64",+7(904)-735-3832,48,83,41,71,69,2011,Статистика
Орлова Анастасия,"г.Орёлул.Октябрьская, д. 63",+7(960)-213-3755,44,79,44,75,39,2011,Прикладная математика и информатика
Кочергин Константин,"Брянская область, г.Жуковка, ул.Революции, д. 53",+7(980)-056-8508,81,41,73,64,91,2019,Статистика
Платова Алиса,"Орловская область, г.Мценск, ул.Гагарина, д. 22",+7(918)-119-4333,52,52,47,93,53,2020,Статистика
Уварова Алисия,"Орловская область, г.Мценск, ул.Гагарина, д. 14",+7(958)-720-7740,60,53,80,41,71,2021,Статистика
Картамышев Федор,"Брянская область, г.Карачев, ул.Гагарина, д. 5",+7(950)-369-6770,44,65,86,61,42,2013,Педагогическое образование
Воронцова Марина,"Орловская область, г.Мценск, ул.Революции, д. 44",+7(961)-324-3884,90,81,96,56,93,2018,Педагогическое образование
Уварова Юлия,"Брянская область, г.Дятьково, ул.Октябрьская, д. 31",+7(923)-678-0686,89,87,72,71,79,2012,Прикладная информатика
Рябинина Милена,"г. Брянск, ул.Революции, д. 16",+7(917)-028-4009,48,90,50,55,96,2014,Физика
Сазонова Милена,"Орловская область, г.Мценск, ул.Новая, д. 46",+7(985)-555-3999,87,61,52,80,50,2016,Прикладная информатика
Сазонова Милена,"Брянская область, г.Карачев, ул. Ленина, д. 16",+7(987)-697-3078,81,54,56,59,95,2019,Статистика
Васильева Марина,"Орловская область, г.Мценск, ул.Центральная, д. 67",+7(916)-245-7925,66,93,56,78,88,2015,Прикладная математика и информатика
Николаев Олег,"г. Брянск, ул.Центральная, д. 6",+7(936)-483-3156,70,72,74,75,68,2015,Педагогическое образование
Сазонова Анастасия,"Орловская область, г.Дмитровск, ул.Революции, д. 2",+7(927)-038-2402,69,96,95,65,99,2022,Прикладная информатика
Коровьев Лев,"Орловская область, г.Дмитровск, ул.Новая, д. 26У",+7(918)-588-9535,92,47,40,91,54,2022,Математика
Салтыкова Аделина,"Брянская область, г.Клинцы, ул.Октябрьская, д. 0",+7(910)-844-6678,65,75,70,60,46,2019,Прикладная математика и информатика
Уварова Алисия,"Орловская область, г.Дмитровск, ул.Октябрьская, д. 0",+7(983)-055-8683,59,83,70,69,72,2010,Педагогическое образование
Ларина Лилия,"г. Брянск, ул.Революции, д. 67Э",+7(961)-373-0916,60,85,52,96,62,2020,Математика
Платова Аделина,"Орловская область, г.Дмитровск, ул.Гагарина, д. 60В",+7(908)-985-0504,49,76,77,62,51,2022,Физика
Латышев Николай,"Орловская область, г.Ливны, ул.Центральная, д. 39",+7(982)-208-8384,84,50,45,47,86,2012,Статистика
Петров Олег,"г. Брянск, ул.Центральная, д. 8",+7(910)-657-9179,97,97,67,42,57,2020,Математика
Петров Константин,"г. Брянск, ул.Гагарина, д. 63",+7(993)-490-3422,82,50,70,85,57,2017,Математика
Панина Милена,"Брянская область, г.Дятьково, ул.Октябрьская, д. 44",+7(930)-747-7142,58,75,72,66,71,2015,Статистика
Лозовский Константин,"Орловская область, г.Дмитровск, ул.Новая, д. 28",+7(958)-141-2750,75,90,89,64,48,2013,Прикладная математика и информатика
Сидоров Иван,"Орловская область, г.Болхов, ул.Центральная, д. 57",+7(963)-188-7880,77,77,54,68,59,2018,Прикладная математика и информатика
Картамышев Николай,"Брянская область, г.Дятьково, ул.Октябрьская, д. 9",+7(977)-854-0276,53,94,46,61,62,2018,Математика
Ларина Анна,"г. Курск, ул.Новая, д. 19",+7(978)-649-9248,82,39,98,86,83,2014,Физика
Ларина Милена,"Орловская область, г.Мценск, ул. Ленина, д. 68",+7(981)-248-3046,63,70,50,64,49,2013,Педагогическое образование
Иванов Иван,"Брянская область, г.Карачев, ул. Ленина, д. 2",+7(903)-550-3273,54,95,67,81,85,2022,Математика
Сазонова Милена,"Брянская область, г.Карачев, ул.Новая, д. 68",+7(933)-605-0451,79,49,55,79,56,2018,Физика
Петров Юрий,"Брянская область, г.Карачев, ул.Революции, д. 63",+7(982)-783-3063,79,82,41,87,51,2019,Физика
Зотова Анна,"Орловская область, г.Мценск, ул. Ленина, д. 31",+7(925)-733-9944,50,91,83,42,39,2015,Прикладная математика и информатика
Васильева Марина,"Орловская область, г.Ливны, ул.Гагарина, д. 17",+7(926)-550-3411,62,90,63,46,92,2010,Статистика
Мышкин Владислав,"г.Орёлул.Октябрьская, д. 50",+7(963)-015-7866,79,90,42,52,70,2013,Статистика
Уварова Милена,"Брянская область, г.Дятьково, ул.Новая, д. 7",+7(952)-326-0667,71,88,56,83,72,2018,Прикладная математика и информатика
Ферзен Алиса,"Орловская область, г.Ливны, ул.Гагарина, д. 24",+7(982)-783-3063,56,59,96,81,59,2017,Прикладная математика и информатика
Воронцова Аделина,"г. Брянск, ул.Новая, д. 51",+7(999)-690-8231,57,73,96,66,69,2013,Физика
Розова Диана,"Брянская область, г.Жуковка, ул.Революции, д. 13",+7(982)-170-5822,63,51,98,93,79,2018,Математика
Латышев Алексей,"г.Орёлул.Революции, д. 45",+7(904)-857-3532,75,75,61,70,87,2022,Прикладная информатика
Рябинина Дина,"Брянская область, г.Карачев, ул. Ленина, д. 44",+7(989)-018-3610,79,79,56,96,51,2022,Прикладная математика и информатика
Николаев Николай,"Орловская область, г.Ливны, ул.Гагарина, д. 34",+7(936)-028-6178,86,70,58,41,44,2015,Математика
Панина Милена,"г. Брянск, ул.Центральная, д. 17",+7(978)-571-3553,51,79,85,92,72,2011,Математика
Сазонова Дина,"Орловская область, г.Дмитровск, ул.Революции, д. 41",+7(952)-504-1108,73,85,49,67,39,2022,Математика
Сидоров Юрий,"Брянская область, г.Дятьково, ул.Гагарина, д. 23Д",+7(962)-237-1590,47,99,87,83,43,2020,Педагогическое образование
Панина Анна,"г. Курск, ул.Новая, д. 65",+7(911)-039-5606,42,64,80,96,72,2019,Прикладная информатика
Ферзен Лина,"Брянская область, г.Дятьково, ул.Центральная, д. 36",+7(911)-816-0306,45,58,54,94,67,2017,Математика
Платова Анастасия,"г.Орёлул.Центральная, д. 48",+7(901)-770-6964,87,51,73,62,50,2015,Прикладная математика и информатика
Латышев Иван,"Орловская область, г.Болхов, ул.Гагарина, д. 68",+7(952)-536-6591,72,99,72,47,94,2016,Прикладная математика и информатика
Сазонова Милена,"г.Орёлул.Октябрьская, д. 17С",+7(953)-000-2203,63,48,81,70,47,2011,Математика
Розова Анастасия,"Брянская область, г.Клинцы, ул.Центральная, д. 62",+7(901)-564-2804,54,79,42,68,57,2011,Прикладная математика и информатика
Муравьев Лев,"Орловская область, г.Дмитровск, ул. Ленина, д. 14",+7(933)-325-8815,94,89,96,75,70,2020,Прикладная информатика
Коровьев Сергей,"Брянская область, г.Клинцы, ул.Центральная, д. 12",+7(926)-783-1324,83,95,90,98,56,2010,Прикладная информатика
Лозовский Андрей,"Брянская область, г.Клинцы, ул.Центральная, д. 11",+7(927)-708-2870,76,52,48,79,72,2018,Статистика
Сазонова Лилия,"г. Курск, ул.Революции, д. 17",+7(929)-252-0174,76,49,56,69,67,2010,Физика
Розова Анастасия,"Брянская область, г.Карачев, ул.Гагарина, д. 48",+7(965)-200-6496,84,93,39,92,57,2022,Математика
Ларина Аделина,"Брянская область, г.Фокино, ул.Центральная, д. 50",+7(958)-505-6107,66,73,60,55,79,2017,Прикладная математика и информатика
